Feature,Mean P Value,P Values
value__abs_energy,3.6475939284485323e-09,"[3.4676628301402543e-09, 4.4606595815783903e-10, 2.9454720612496447e-09, 1.3943474675100325e-08, 3.4676628301402543e-09, 3.1477818686460655e-10, 3.7364008822032e-10, 6.8426474597244575e-09, 2.1591350908897815e-09, 2.5154001039978473e-09]"
value__absolute_sum_of_changes,2.2652651814676736e-09,"[2.0752058675688507e-09, 5.470874312928451e-10, 1.777674703166329e-09, 6.695209610222007e-09, 1.686680765879966e-09, 3.1477818686460655e-10, 3.7364008822032e-10, 6.8426474597244575e-09, 1.0871989462508233e-09, 1.2525287554865284e-09]"
"value__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""max""",2.674545278245037e-07,"[2.1594877632076445e-07, 1.5696438991862516e-07, 1.5968314431324738e-06, 1.268233898268285e-07, 3.366858547801702e-08, 1.2303944618288545e-09, 2.4207608930213337e-09, 2.0337757206845937e-07, 1.2260383537751037e-07, 2.146761307675084e-07]"
"value__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""mean""",2.679104204226571e-06,"[1.2414128368460458e-06, 1.6199599658042164e-06, 1.9378797431909327e-05, 2.7283834121940214e-07, 1.250875847891082e-07, 3.4789880728297974e-09, 9.954792498068972e-09, 1.469431315184621e-06, 4.7398054921311486e-07, 2.1961002367289765e-06]"
"value__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""min""",0.0001277086166649065,"[7.039988052676698e-05, 9.65427049379624e-05, 0.0009645664188989097, 1.4238464645532794e-06, 9.479056423406154e-06, 7.894882093027883e-08, 9.564611047067798e-07, 7.404045356742314e-05, 6.340175181774393e-06, 5.325822072263234e-05]"
"value__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""var""",2.046495878977649e-09,"[1.5199843322035753e-09, 4.4606595815783903e-10, 1.3088570156873292e-09, 6.02164459456049e-09, 1.5199843322035753e-09, 3.1477818686460655e-10, 3.7364008822032e-10, 6.8426474597244575e-09, 9.847309599077577e-10, 1.132625862246542e-09]"
"value__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""max""",2.8889435532855974e-08,"[3.704359844082576e-08, 1.5090599555677572e-08, 3.033073133024399e-08, 1.268233898268285e-07, 3.059266333834309e-08, 3.1477818686460655e-10, 3.7364008822032e-10, 6.8426474597244575e-09, 2.0724983216369365e-08, 2.075732388546212e-08]"
"value__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""mean""",3.063864294945948e-06,"[2.2313107135563176e-06, 1.6199599658042164e-06, 1.7997073012073733e-05, 1.1908387391191978e-06, 1.1409719655765963e-07, 1.9618819833107766e-08, 5.0586994480577774e-08, 3.587024492997101e-06, 1.2547107470703867e-06, 2.5734222679671848e-06]"
"value__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""var""",3.642132349982796e-09,"[1.871142713963921e-09, 9.073950503566544e-10, 1.6056362575813894e-09, 1.546509899245518e-08, 1.5199843322035753e-09, 4.668340787530142e-10, 5.577316697768161e-10, 1.051571789037533e-08, 2.379156652115533e-09, 1.132625862246542e-09]"
"value__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""max""",7.59760823092727e-07,"[5.248897352987752e-07, 5.166673958050769e-07, 5.319211654320112e-06, 1.268233898268285e-07, 5.4134464988319395e-08, 1.980298973932494e-09, 5.180558538288055e-09, 5.30735915582563e-07, 1.587330123769949e-07, 3.592518052163797e-07]"
